-q8,p8,-r8,-s8
-q15,-r15,p15,-s15
q2,-p2,-s2,-r2
-q1,s1,-r1,-p1
-q9,s9,-r9,-p9
-q2,-p2,-s2,r2
-q9,p9,-r9,-s9
-q15,r15,-p15,-s15
-q14,-r14,-p14,s14
-q14,-r14,p14,-s14
r5,-s5,-p5,-q5
-p6,-r6,s6,-q6
r4,-p4,-s4,-q4
-s6,-r6,p6,-q6
s13,-p13,-r13,-q13
p3,-q3,-s3,-r3
-q8,r8,-p8,-s8
-r16,q16,-s16,-p16
-r4,-p4,-s4,q4
-q1,r1,-s1,-p1
q3,-s3,-p3,-r3
s2,-q2,-p2,-r2
-s13,-p13,r13,-q13
-p11,-s11,-q11,r11
p11,-s11,-q11,-r11
-p6,-s6,-r6,q6
-s7,-p7,-r7,q7
-p6,-s6,r6,-q6
-s13,-p13,-r13,q13
q14,-r14,-p14,-s14
p2,-q2,-s2,-r2
-s13,p13,-r13,-q13
-p10,-s10,-q10,r10
q8,-r8,-p8,-s8
-r16,-q16,-s16,p16
-s7,-p7,r7,-q7
s12,-p12,-r12,-q12
-q14,r14,-p14,-s14
-p10,s10,-q10,-r10
-p7,-r7,s7,-q7
q9,-r9,-s9,-p9
-q9,r9,-s9,-p9
-q3,-s3,-p3,r3
-q15,-r15,-p15,s15
-s12,-p12,r12,-q12
-r5,-s5,-p5,q5
-q8,s8,-r8,-p8
q15,-r15,-p15,-s15
p10,-s10,-q10,-r10
-p10,-s10,q10,-r10
-r4,-p4,-q4,s4
-r5,-p5,-q5,s5
r16,-q16,-s16,-p16
-p11,s11,-q11,-r11
-s12,p12,-r12,-q12
q1,-r1,-s1,-p1
-s7,-r7,p7,-q7
-p11,-s11,q11,-r11
-r4,-s4,-q4,p4
-r16,-q16,s16,-p16
-q1,p1,-r1,-s1
-s12,-p12,-r12,q12
-r5,-s5,-q5,p5
s3,-q3,-p3,-r3
